Complication,Recommended_Medication,Dosage,Duration
Organ Failure,IV Fluids + Vasopressors,2.7 L/day,3 days
Infection,Antibiotics,620 mg/day,10 days
Bleeding,Blood Transfusion + Hemostatic Agent,2 units,2 days
Organ Failure,IV Fluids + Vasopressors,2.5 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.2 L/day,3 days
Bleeding,Blood Transfusion + Hemostatic Agent,4 units,2 days
Infection,Antibiotics,525 mg/day,7 days
Infection,Antibiotics,609 mg/day,7 days
Bleeding,Blood Transfusion + Hemostatic Agent,2 units,1 days
Infection,Antibiotics,554 mg/day,5 days
Infection,Antibiotics,510 mg/day,7 days
Infection,Antibiotics,597 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.1 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.6 L/day,5 days
Infection,Antibiotics,519 mg/day,5 days
None,Pain Management,200 mg/day,3 days
Infection,Antibiotics,572 mg/day,5 days
Bleeding,Blood Transfusion + Hemostatic Agent,1 units,1 days
Organ Failure,IV Fluids + Vasopressors,2.5 L/day,3 days
Infection,Antibiotics,538 mg/day,7 days
Infection,Antibiotics,548 mg/day,7 days
Infection,Antibiotics,568 mg/day,10 days
Organ Failure,IV Fluids + Vasopressors,1.9 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.5 L/day,5 days
Infection,Antibiotics,549 mg/day,7 days
Infection,Antibiotics,508 mg/day,5 days
Infection,Antibiotics,562 mg/day,7 days
Infection,Antibiotics,580 mg/day,10 days
Organ Failure,IV Fluids + Vasopressors,2.2 L/day,5 days
Infection,Antibiotics,526 mg/day,7 days
Infection,Antibiotics,546 mg/day,7 days
Infection,Antibiotics,554 mg/day,7 days
Infection,Antibiotics,539 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.2 L/day,5 days
Infection,Antibiotics,515 mg/day,7 days
Infection,Antibiotics,572 mg/day,10 days
Infection,Antibiotics,557 mg/day,10 days
Infection,Antibiotics,606 mg/day,5 days
Infection,Antibiotics,567 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.1 L/day,3 days
Bleeding,Blood Transfusion + Hemostatic Agent,1 units,3 days
Organ Failure,IV Fluids + Vasopressors,1.2 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.6 L/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.4 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.4 L/day,5 days
Infection,Antibiotics,584 mg/day,7 days
Infection,Antibiotics,536 mg/day,7 days
Infection,Antibiotics,514 mg/day,5 days
Infection,Antibiotics,594 mg/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.9 L/day,3 days
Infection,Antibiotics,587 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.4 L/day,7 days
Infection,Antibiotics,600 mg/day,7 days
Infection,Antibiotics,579 mg/day,10 days
Infection,Antibiotics,506 mg/day,7 days
Infection,Antibiotics,621 mg/day,10 days
Infection,Antibiotics,532 mg/day,5 days
Bleeding,Blood Transfusion + Hemostatic Agent,4 units,1 days
Organ Failure,IV Fluids + Vasopressors,1.2 L/day,3 days
Infection,Antibiotics,520 mg/day,7 days
Infection,Antibiotics,610 mg/day,7 days
Infection,Antibiotics,524 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.7 L/day,7 days
Infection,Antibiotics,599 mg/day,5 days
Infection,Antibiotics,617 mg/day,10 days
Infection,Antibiotics,590 mg/day,5 days
Infection,Antibiotics,500 mg/day,10 days
Infection,Antibiotics,524 mg/day,10 days
Infection,Antibiotics,508 mg/day,7 days
Infection,Antibiotics,543 mg/day,5 days
Infection,Antibiotics,630 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.3 L/day,3 days
None,Pain Management,100 mg/day,2 days
Organ Failure,IV Fluids + Vasopressors,2.9 L/day,3 days
Organ Failure,IV Fluids + Vasopressors,1.7 L/day,3 days
Infection,Antibiotics,590 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.3 L/day,7 days
Infection,Antibiotics,627 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.5 L/day,5 days
Infection,Antibiotics,604 mg/day,10 days
Organ Failure,IV Fluids + Vasopressors,2.6 L/day,3 days
Infection,Antibiotics,585 mg/day,7 days
Infection,Antibiotics,519 mg/day,10 days
Infection,Antibiotics,522 mg/day,10 days
Infection,Antibiotics,612 mg/day,7 days
Infection,Antibiotics,623 mg/day,10 days
Infection,Antibiotics,593 mg/day,7 days
Infection,Antibiotics,603 mg/day,10 days
Infection,Antibiotics,534 mg/day,7 days
Infection,Antibiotics,612 mg/day,10 days
Infection,Antibiotics,562 mg/day,5 days
Infection,Antibiotics,545 mg/day,7 days
Infection,Antibiotics,544 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.8 L/day,3 days
Infection,Antibiotics,570 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.1 L/day,5 days
Infection,Antibiotics,504 mg/day,7 days
Infection,Antibiotics,562 mg/day,10 days
Infection,Antibiotics,568 mg/day,5 days
Infection,Antibiotics,626 mg/day,7 days
Infection,Antibiotics,628 mg/day,10 days
Infection,Antibiotics,556 mg/day,5 days
Infection,Antibiotics,513 mg/day,7 days
Infection,Antibiotics,618 mg/day,10 days
Infection,Antibiotics,611 mg/day,10 days
Infection,Antibiotics,617 mg/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.3 L/day,7 days
Infection,Antibiotics,569 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.6 L/day,7 days
Infection,Antibiotics,582 mg/day,5 days
Infection,Antibiotics,584 mg/day,10 days
Infection,Antibiotics,558 mg/day,5 days
Infection,Antibiotics,551 mg/day,7 days
Infection,Antibiotics,624 mg/day,5 days
Infection,Antibiotics,507 mg/day,5 days
Infection,Antibiotics,518 mg/day,7 days
Infection,Antibiotics,558 mg/day,7 days
Infection,Antibiotics,594 mg/day,10 days
Organ Failure,IV Fluids + Vasopressors,1.6 L/day,7 days
Infection,Antibiotics,542 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.3 L/day,3 days
Infection,Antibiotics,560 mg/day,7 days
Infection,Antibiotics,632 mg/day,7 days
Infection,Antibiotics,527 mg/day,7 days
Infection,Antibiotics,602 mg/day,7 days
Infection,Antibiotics,501 mg/day,5 days
Infection,Antibiotics,506 mg/day,5 days
Infection,Antibiotics,582 mg/day,7 days
Bleeding,Blood Transfusion + Hemostatic Agent,4 units,3 days
Infection,Antibiotics,588 mg/day,7 days
Infection,Antibiotics,514 mg/day,10 days
Infection,Antibiotics,527 mg/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.1 L/day,3 days
Infection,Antibiotics,536 mg/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.8 L/day,3 days
Organ Failure,IV Fluids + Vasopressors,2.8 L/day,5 days
Organ Failure,IV Fluids + Vasopressors,1.5 L/day,7 days
Infection,Antibiotics,526 mg/day,10 days
Infection,Antibiotics,597 mg/day,10 days
Infection,Antibiotics,593 mg/day,10 days
Infection,Antibiotics,549 mg/day,10 days
Infection,Antibiotics,591 mg/day,10 days
Infection,Antibiotics,616 mg/day,7 days
Infection,Antibiotics,509 mg/day,5 days
Infection,Antibiotics,629 mg/day,10 days
Infection,Antibiotics,531 mg/day,7 days
Infection,Antibiotics,566 mg/day,10 days
Infection,Antibiotics,552 mg/day,7 days
Infection,Antibiotics,599 mg/day,7 days
Infection,Antibiotics,580 mg/day,7 days
Infection,Antibiotics,540 mg/day,7 days
Infection,Antibiotics,563 mg/day,7 days
Infection,Antibiotics,566 mg/day,5 days
Infection,Antibiotics,502 mg/day,7 days
Infection,Antibiotics,544 mg/day,5 days
Infection,Antibiotics,615 mg/day,10 days
Infection,Antibiotics,582 mg/day,10 days
Infection,Antibiotics,585 mg/day,10 days
Infection,Antibiotics,605 mg/day,7 days
Infection,Antibiotics,600 mg/day,10 days
Infection,Antibiotics,555 mg/day,7 days
Infection,Antibiotics,591 mg/day,5 days
Infection,Antibiotics,566 mg/day,7 days
Infection,Antibiotics,539 mg/day,5 days
Infection,Antibiotics,537 mg/day,7 days
Infection,Antibiotics,502 mg/day,5 days
Infection,Antibiotics,504 mg/day,10 days
Infection,Antibiotics,514 mg/day,7 days
Infection,Antibiotics,578 mg/day,7 days
Infection,Antibiotics,580 mg/day,5 days
Infection,Antibiotics,507 mg/day,10 days
Infection,Antibiotics,575 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.4 L/day,3 days
Infection,Antibiotics,516 mg/day,10 days
Infection,Antibiotics,552 mg/day,10 days
Infection,Antibiotics,528 mg/day,7 days
Infection,Antibiotics,501 mg/day,7 days
Infection,Antibiotics,616 mg/day,10 days
Infection,Antibiotics,568 mg/day,7 days
Infection,Antibiotics,574 mg/day,10 days
Organ Failure,IV Fluids + Vasopressors,3.0 L/day,3 days
Organ Failure,IV Fluids + Vasopressors,3.0 L/day,7 days
Infection,Antibiotics,503 mg/day,10 days
Infection,Antibiotics,513 mg/day,5 days
Infection,Antibiotics,551 mg/day,5 days
Infection,Antibiotics,626 mg/day,5 days
Infection,Antibiotics,630 mg/day,5 days
Infection,Antibiotics,537 mg/day,5 days
Infection,Antibiotics,608 mg/day,7 days
Infection,Antibiotics,557 mg/day,7 days
Infection,Antibiotics,503 mg/day,7 days
Infection,Antibiotics,540 mg/day,5 days
Infection,Antibiotics,564 mg/day,7 days
Infection,Antibiotics,604 mg/day,5 days
Infection,Antibiotics,561 mg/day,7 days
Infection,Antibiotics,611 mg/day,5 days
